Session ID,Program,Session Date,Modality,Topic,Attendees (Headcount),Duration (min),Facilitator Notes
SESS0032,Career Readiness,2023-05-28,In-person,Career Panels,16,60,Lower attendance than expected — schedule conflict noted.
SESS0033,Career Readiness,2023-05-14,Virtual,Leadership Lab,20,90,Several students requested follow-up resources.
SESS0034,Career Readiness,2023-05-16,Hybrid,Leadership Lab,19,90,"Strong engagement, Q&A ran long."
SESS0035,Academic Success,2023-05-14,In-person,Study Strategies,27,75,Students asked for more hands-on activities.
SESS0036,Academic Success,2023-05-10,Virtual,Resume Workshop,10,90,
SESS0037,Academic Success,2023-05-10,Virtual,Leadership Lab,27,120,Several students requested follow-up resources.
SESS0038,Academic Success,2023-05-23,Virtual,Career Panels,22,60,
SESS0039,Leadership Development,2023-05-20,Virtual,Mentorship Session,28,60,"Strong engagement, Q&A ran long."
SESS0040,Leadership Development,2023-05-22,Hybrid,Study Strategies,19,75,"Strong engagement, Q&A ran long."
SESS0041,Leadership Development,2023-05-05,Hybrid,Leadership Lab,9,75,"Strong engagement, Q&A ran long."
SESS0042,Career Readiness,2023-06-25,Hybrid,Career Panels,19,120,Students asked for more hands-on activities.
SESS0043,Career Readiness,2023-06-02,Hybrid,Networking Skills,29,120,Lower attendance than expected — schedule conflict noted.
SESS0044,Academic Success,2023-06-15,In-person,Networking Skills,24,90,"Great energy, peer connections formed."
SESS0045,Academic Success,2023-06-11,Hybrid,Mentorship Session,15,60,"Strong engagement, Q&A ran long."
SESS0046,Academic Success,2023-06-24,In-person,Leadership Lab,24,120,Students asked for more hands-on activities.
SESS0047,Leadership Development,2023-06-09,Virtual,Leadership Lab,14,90,
SESS0048,Leadership Development,2023-06-16,In-person,Resume Workshop,12,60,"Great energy, peer connections formed."
SESS0049,Career Readiness,2024-07-23,Virtual,Resume Workshop,33,90,
SESS0050,Career Readiness,2024-07-12,Hybrid,Resume Workshop,25,90,Lower attendance than expected — schedule conflict noted.
SESS0051,Academic Success,2024-07-23,Hybrid,Networking Skills,33,90,Students asked for more hands-on activities.
SESS0052,Academic Success,2024-07-08,In-person,Financial Literacy,33,75,Several students requested follow-up resources.
SESS0053,Leadership Development,2024-07-01,Virtual,Career Panels,22,75,Students asked for more hands-on activities.
SESS0054,Leadership Development,2024-07-03,In-person,Mentorship Session,20,120,Students asked for more hands-on activities.
SESS0055,Leadership Development,2024-07-14,Virtual,Resume Workshop,12,90,
SESS0056,Career Readiness,2024-08-15,Virtual,Career Panels,12,75,Several students requested follow-up resources.
SESS0057,Career Readiness,2024-08-14,Hybrid,Goal Setting,34,60,Students asked for more hands-on activities.
SESS0058,Academic Success,2024-08-10,In-person,Networking Skills,18,75,Lower attendance than expected — schedule conflict noted.
SESS0059,Academic Success,2024-08-17,Virtual,Resume Workshop,16,75,
SESS0060,Leadership Development,2024-08-09,In-person,Mentorship Session,27,60,Students asked for more hands-on activities.
SESS0061,Leadership Development,2024-08-21,In-person,Networking Skills,13,90,Students asked for more hands-on activities.
SESS0062,Leadership Development,2024-08-02,In-person,Resume Workshop,9,90,
SESS0063,Leadership Development,2024-08-07,Hybrid,Study Strategies,27,60,"Great energy, peer connections formed."
SESS0064,Career Readiness,2024-09-18,Virtual,Mentorship Session,23,75,
SESS0065,Career Readiness,2024-09-13,Virtual,Leadership Lab,10,60,Several students requested follow-up resources.
SESS0066,Career Readiness,2024-09-15,Virtual,Leadership Lab,22,75,Lower attendance than expected — schedule conflict noted.
SESS0067,Career Readiness,2024-09-20,In-person,Career Panels,35,90,
SESS0068,Academic Success,2024-09-13,In-person,Career Panels,24,60,Lower attendance than expected — schedule conflict noted.
SESS0069,Academic Success,2024-09-08,Virtual,Resume Workshop,16,120,Several students requested follow-up resources.
SESS0070,Academic Success,2024-09-05,In-person,Goal Setting,17,120,Students asked for more hands-on activities.
SESS0071,Leadership Development,2024-09-08,In-person,Career Panels,26,90,Several students requested follow-up resources.
SESS0072,Leadership Development,2024-09-25,In-person,Leadership Lab,24,120,"Great energy, peer connections formed."
SESS0073,Leadership Development,2024-09-10,Virtual,Goal Setting,10,120,Students asked for more hands-on activities.
SESS0074,Career Readiness,2024-10-08,In-person,Career Panels,9,60,Lower attendance than expected — schedule conflict noted.
SESS0075,Career Readiness,2024-10-16,Hybrid,Leadership Lab,17,60,"Strong engagement, Q&A ran long."
SESS0076,Career Readiness,2024-10-14,In-person,Mentorship Session,31,90,"Great energy, peer connections formed."
SESS0077,Academic Success,2024-10-02,Virtual,Goal Setting,26,75,Lower attendance than expected — schedule conflict noted.
SESS0078,Academic Success,2024-10-18,Virtual,Resume Workshop,20,120,Students asked for more hands-on activities.
SESS0079,Academic Success,2024-10-09,Hybrid,Resume Workshop,12,60,"Great energy, peer connections formed."
SESS0080,Leadership Development,2024-10-26,Virtual,Career Panels,32,75,Several students requested follow-up resources.
SESS0081,Leadership Development,2024-10-20,Hybrid,Study Strategies,24,60,"Strong engagement, Q&A ran long."
SESS0082,Leadership Development,2024-10-02,In-person,Career Panels,33,120,Students asked for more hands-on activities.
SESS0083,Career Readiness,2024-11-05,Hybrid,Networking Skills,18,90,Several students requested follow-up resources.
SESS0084,Career Readiness,2024-11-13,Hybrid,Mentorship Session,26,90,Students asked for more hands-on activities.
SESS0085,Career Readiness,2024-11-27,Hybrid,Leadership Lab,30,90,"Great energy, peer connections formed."
SESS0086,Academic Success,2024-11-12,Virtual,Resume Workshop,21,90,
SESS0087,Academic Success,2024-11-28,Hybrid,Goal Setting,27,120,Lower attendance than expected — schedule conflict noted.
SESS0088,Leadership Development,2024-11-26,Hybrid,Financial Literacy,31,60,Students asked for more hands-on activities.
SESS0089,Leadership Development,2024-11-16,In-person,Study Strategies,12,75,"Strong engagement, Q&A ran long."
SESS0090,Leadership Development,2024-11-19,Hybrid,Resume Workshop,14,60,"Great energy, peer connections formed."
SESS0091,Leadership Development,2024-11-11,Virtual,Networking Skills,21,75,"Great energy, peer connections formed."
SESS0092,Career Readiness,2024-12-25,Hybrid,Leadership Lab,35,60,
SESS0093,Career Readiness,2024-12-05,Hybrid,Financial Literacy,25,90,
SESS0094,Career Readiness,2024-12-16,Hybrid,Study Strategies,18,75,"Great energy, peer connections formed."
SESS0095,Career Readiness,2024-12-18,Virtual,Career Panels,29,90,Students asked for more hands-on activities.
SESS0096,Academic Success,2024-12-07,In-person,Mentorship Session,25,90,Several students requested follow-up resources.
SESS0097,Academic Success,2024-12-10,Virtual,Financial Literacy,30,120,Lower attendance than expected — schedule conflict noted.
SESS0098,Academic Success,2024-12-16,Virtual,Mentorship Session,17,60,Students asked for more hands-on activities.
SESS0099,Leadership Development,2024-12-18,Virtual,Study Strategies,34,90,Several students requested follow-up resources.
SESS0100,Leadership Development,2024-12-10,In-person,Mentorship Session,30,60,Lower attendance than expected — schedule conflict noted.
SESS0101,Leadership Development,2024-12-15,Hybrid,Mentorship Session,31,120,Several students requested follow-up resources.
SESS0102,Leadership Development,2024-12-07,Hybrid,Mentorship Session,25,90,Several students requested follow-up resources.
